Order,DC-WH,Customer,SCTN,Invoice,Route,Lines,Cases,Weight,Cube
30308,24-24,26035,,5751262,5041-,1,1,11.46,0.338
30352,24-24,26342,,5751330,5041-,2,42,422.41,15.316
30353,24-24,26342,,5751331,5041-,2,29,281.05,10.904
30355,24-24,26342,,5751333,5041-,2,2,10.14,0.462
30501,24-24,31181,GRO,5751578,5042-,243,331,5938.94,256.977
30502,24-24,31181,GRO,5751579,5042-,4,4,75.24,2.331
30503,24-24,31181,GRO,5751580,5042-,10,10,58.68,3.239
30504,24-24,31183,GRO,5751583,5042-,149,161,2571.7,126.731
30505,24-24,31183,GRO,5751584,5042-,2,2,11.91,0.649
30508,24-24,31185,GRO,5751589,5042-,98,119,2060.49,79.7
30509,24-24,31185,GRO,5751590,5042-,5,5,18.94,0.846
30510,24-24,31186,GRO,5751592,5042-,112,131,2509.57,99.32
30511,24-24,31186,GRO,5751593,5042-,1,1,18.41,1.306
30512,24-24,31187,GRO,5751595,5042-,151,168,2581.37,124.048
30513,24-24,31187,GRO,5751596,5042-,4,4,19.32,1.145
30514,24-24,31188,GRO,5751598,5042-,166,228,4604.82,177.228
30515,24-24,31188,GRO,5751599,5042-,2,2,8.06,0.391
30516,24-24,31188,GRO,5751600,5042-,2,2,4.6,0.394
30533,24-24,31196,GRO,5751628,5042-,242,280,4453.16,200.172
30534,24-24,31196,GRO,5751629,5042-,7,7,31.46,1.683
30501,24-24,31181,,5751578,5042-,1,43,507.27,24.561
30503,24-24,31181,,5751580,5042-,1,6,26.26,1.521
30504,24-24,31183,,5751583,5042-,2,49,753.58,27.216
30505,24-24,31183,,5751584,5042-,2,1,4.68,0.31
30508,24-24,31185,,5751589,5042-,5,17,185.88,10.147
30509,24-24,31185,,5751590,5042-,5,2,12.65,0.658
30510,24-24,31186,,5751592,5042-,4,31,407.19,16.166
30511,24-24,31186,,5751593,5042-,4,2,9.45,0.687
30512,24-24,31187,,5751595,5042-,3,52,746.63,27.422
30513,24-24,31187,,5751596,5042-,3,4,16.15,0.98
30514,24-24,31188,,5751598,5042-,6,25,307.39,15.804
30515,24-24,31188,,5751599,5042-,6,3,13.01,0.63
30533,24-24,31196,,5751628,5042-,7,42,477.57,23.621
30534,24-24,31196,,5751629,5042-,7,4,19.53,1.217
30318,24-24,26190,GRO,5751275,5043-,171,348,5820.97,260.631
30319,24-24,26190,GRO,5751276,5043-,44,78,1592.39,41.136
30320,24-24,26190,GRO,5751277,5043-,5,5,40.99,1.498
30455,24-24,31081,GRO,5751468,5043-,108,172,3482.54,165.141
30456,24-24,31081,GRO,5751469,5043-,4,5,41.15,2.23
30459,24-24,31116,GRO,5751515,5043-,227,268,3449.41,188.5
30460,24-24,31116,GRO,5751516,5043-,226,383,7351.26,245.821
30461,24-24,31116,GRO,5751517,5043-,17,22,406.51,20.494
30463,24-24,31126,GRO,5751520,5043-,259,366,5847.37,244.242
30464,24-24,31126,GRO,5751521,5043-,14,19,646.04,17.734
30465,24-24,31126,GRO,5751522,5043-,2,2,10.52,0.677
30318,24-24,26190,,5751275,5043-,4,40,506.34,20.142
30319,24-24,26190,,5751276,5043-,4,9,202.21,6.816
30455,24-24,31081,,5751468,5043-,3,12,90.92,5.41
30459,24-24,31116,,5751515,5043-,1,74,722.84,33.683
30460,24-24,31116,,5751516,5043-,1,95,845.15,35.723
30461,24-24,31116,,5751517,5043-,1,6,35.86,2.185
30462,24-24,31116,,5751518,5043-,1,1,15.83,0.446
30463,24-24,31126,,5751520,5043-,2,83,881.12,37.857
30464,24-24,31126,,5751521,5043-,2,2,20.75,1.454
30465,24-24,31126,,5751522,5043-,2,1,6.47,0.372
30619,24-24,3051,GRO,5750842,5044-,1,20,140,8.46
30161,24-24,18539,GRO,5751022,5044-,229,283,3443.15,218.152
30162,24-24,18539,GRO,5751023,5044-,226,353,6310.92,224.024
30163,24-24,18539,GRO,5751024,5044-,39,43,535.19,24.308
30164,24-24,18539,GRO,5751025,5044-,16,16,90.98,4.642
30165,24-24,18539,GRO,5751026,5044-,6,12,152.24,40.729
30212,24-24,18612,GRO,5751092,5044-,179,290,6384.2,196.085
30213,24-24,18612,GRO,5751093,5044-,278,319,6149.11,218.499
30214,24-24,18612,GRO,5751094,5044-,9,9,43.13,2.787
30215,24-24,18612,GRO,5751095,5044-,5,7,80.85,10.534
30161,24-24,18539,,5751022,5044-,1,107,1297.15,63.352
30162,24-24,18539,,5751023,5044-,1,188,1560.49,59.287
30163,24-24,18539,,5751024,5044-,1,12,93.67,4.582
30164,24-24,18539,,5751025,5044-,1,5,23.92,1.223
30212,24-24,18612,,5751092,5044-,2,70,2326.16,85.569
30213,24-24,18612,,5751093,5044-,2,80,784.73,32.84
30214,24-24,18612,,5751094,5044-,2,5,25.63,1.376
30215,24-24,18612,,5751095,5044-,2,2,25.95,8.321
30371,24-24,26498,GRO,5751354,5045-,293,429,7397.02,249.518
30372,24-24,26498,GRO,5751355,5045-,211,364,6797.81,247.107
30373,24-24,26498,GRO,5751356,5045-,45,235,5873.32,159.173
30374,24-24,26498,GRO,5751357,5045-,9,9,66.49,3.536
30447,24-24,31068,GRO,5751457,5045-,168,289,5625.24,210.014
30448,24-24,31068,GRO,5751458,5045-,84,372,9892.32,267.18
30449,24-24,31068,GRO,5751459,5045-,90,145,3651.51,115.57
30450,24-24,31068,GRO,5751460,5045-,4,4,14.64,0.576
30371,24-24,26498,,5751354,5045-,1,67,845.89,32.986
30372,24-24,26498,,5751355,5045-,1,39,420.15,24.187
30373,24-24,26498,,5751356,5045-,1,7,97.53,3.512
30374,24-24,26498,,5751357,5045-,1,2,7.91,0.419
30447,24-24,31068,,5751457,5045-,2,44,530.2,24.428
30448,24-24,31068,,5751458,5045-,2,40,271.23,13.135
30449,24-24,31068,,5751459,5045-,2,22,247.19,10.445
30450,24-24,31068,,5751460,5045-,2,5,29.86,1.785
30116,24-24,16357,GRO,5750936,5046-,138,391,8334.88,249.233
30117,24-24,16357,GRO,5750937,5046-,80,264,6071.96,240.556
30118,24-24,16357,GRO,5750938,5046-,48,163,2262.68,155.599
30119,24-24,16357,GRO,5750939,5046-,10,10,57.94,3.016
30300,24-24,25920,GRO,5751250,5046-,144,356,5882.53,225.735
30301,24-24,25920,GRO,5751251,5046-,110,205,3700.97,137.456
30302,24-24,25920,GRO,5751252,5046-,29,160,634.26,29.996
30380,24-24,26506,GRO,5751366,5046-,223,288,5974.01,189.415
30381,24-24,26506,GRO,5751367,5046-,11,11,55.76,2.394
30116,24-24,16357,,5750936,5046-,2,60,685.28,28.809
30117,24-24,16357,,5750937,5046-,2,38,337.64,37.363
30118,24-24,16357,,5750938,5046-,2,19,146.72,8.448
30119,24-24,16357,,5750939,5046-,2,8,38.2,1.981
30300,24-24,25920,,5751250,5046-,3,107,1020.33,55.503
30301,24-24,25920,,5751251,5046-,3,60,517.67,32.575
30302,24-24,25920,,5751252,5046-,3,46,158.82,7.724
30380,24-24,26506,,5751366,5046-,1,34,464.89,18.578
30381,24-24,26506,,5751367,5046-,1,6,23.92,1.167
30498,24-24,31179,GRO,5751573,5047-,81,119,2488.05,99.041
30499,24-24,31179,GRO,5751574,5047-,3,3,14.93,0.712
30498,24-24,31179,,5751573,5047-,1,25,251.84,13.088
30499,24-24,31179,,5751574,5047-,1,2,7.14,0.423
30500,24-24,31179,,5751577,5047-,1,3,2,0.111
30150,24-24,18536,GRO,5751003,5048-,225,321,4408.41,211.6
30151,24-24,18536,GRO,5751004,5048-,265,389,4938.17,193.825
30152,24-24,18536,GRO,5751005,5048-,11,12,70.73,3.773
30153,24-24,18536,GRO,5751006,5048-,1,2,10.76,7.91
30157,24-24,18538,GRO,5751015,5048-,180,282,5283.98,182.951
30158,24-24,18538,GRO,5751016,5048-,123,207,4351.31,150.69
30159,24-24,18538,GRO,5751017,5048-,11,11,52.82,2.476
30160,24-24,18538,GRO,5751018,5048-,10,15,252.69,51.546
30231,24-24,18861,GRO,5751123,5048-,228,314,4285.2,226.307
30232,24-24,18861,GRO,5751124,5048-,204,350,7184.58,236.517
30233,24-24,18861,GRO,5751125,5048-,27,41,627.46,26.219
30234,24-24,18861,GRO,5751126,5048-,12,12,54.58,3.128
30150,24-24,18536,,5751003,5048-,1,145,1648.65,70.033
30151,24-24,18536,,5751004,5048-,1,247,2008.76,82.201
30152,24-24,18536,,5751005,5048-,1,4,23.58,1.524
30157,24-24,18538,,5751015,5048-,3,103,1121.61,50.018
30158,24-24,18538,,5751016,5048-,3,79,952.35,37.52
30159,24-24,18538,,5751017,5048-,3,6,30.72,1.293
30231,24-24,18861,,5751123,5048-,2,108,1271.45,54.499
30232,24-24,18861,,5751124,5048-,2,145,1154.6,46.512
30233,24-24,18861,,5751125,5048-,2,12,81.36,3.168
30234,24-24,18861,,5751126,5048-,2,5,23.4,1.076
30298,24-24,25864,GRO,5751248,5049-,8,141,3865.5,204.933
30299,24-24,25864,GRO,5751249,5049-,1,1,48.52,3.517
30389,24-24,26540,GRO,5751379,5049-,227,311,4890.1,248.072
30390,24-24,26540,GRO,5751380,5049-,97,104,1716,63.563
30391,24-24,26540,GRO,5751381,5049-,7,7,37.22,2.269
30475,24-24,31139,GRO,5751540,5049-,71,396,10388.02,272.306
30476,24-24,31139,GRO,5751541,5049-,221,333,6706.36,254.75
30477,24-24,31139,GRO,5751542,5049-,5,26,1315.04,34.659
30478,24-24,31139,GRO,5751543,5049-,1,1,15.88,0.453
30298,24-24,25864,,5751248,5049-,3,10,828.65,45.43
30389,24-24,26540,,5751379,5049-,2,67,803.15,33.902
30390,24-24,26540,,5751380,5049-,2,20,268.11,12.548
30475,24-24,31139,,5751540,5049-,1,18,166.21,8.156
30476,24-24,31139,,5751541,5049-,1,40,375.67,18.247
30506,24-24,31184,GRO,5751586,5050-,163,211,4046.15,157.521
30507,24-24,31184,GRO,5751587,5050-,6,6,32.31,1.457
30517,24-24,31189,GRO,5751603,5050-,111,140,3133.73,126.135
30518,24-24,31189,GRO,5751604,5050-,4,5,19.66,1.004
30523,24-24,31191,GRO,5751611,5050-,241,293,5448.22,207.257
30524,24-24,31191,GRO,5751612,5050-,10,10,74.78,3.051
30525,24-24,31192,GRO,5751613,5050-,103,141,3083.41,112.882
30526,24-24,31192,GRO,5751614,5050-,3,3,10.38,0.876
30527,24-24,31193,GRO,5751617,5050-,109,146,2815.18,111.928
30528,24-24,31193,GRO,5751618,5050-,2,2,8.43,0.314
30529,24-24,31194,GRO,5751620,5050-,149,182,3317.49,155.497
30531,24-24,31195,GRO,5751624,5050-,228,302,5501.5,223.101
30532,24-24,31195,GRO,5751625,5050-,7,7,28.02,1.211
30506,24-24,31184,,5751586,5050-,5,41,503.11,19.971
30507,24-24,31184,,5751587,5050-,5,3,15.92,1.059
30517,24-24,31189,,5751603,5050-,6,19,196.32,11.41
30518,24-24,31189,,5751604,5050-,6,2,10.42,0.62
30519,24-24,31189,,5751605,5050-,6,5,3.15,0.26
30523,24-24,31191,,5751611,5050-,3,38,586.95,26.311
30524,24-24,31191,,5751612,5050-,3,1,4.68,0.31
30525,24-24,31192,,5751613,5050-,4,38,555.59,22.597
30526,24-24,31192,,5751614,5050-,4,1,2.88,0.096
30527,24-24,31193,,5751617,5050-,2,22,352.86,14
30528,24-24,31193,,5751618,5050-,2,5,23.06,1.482
30529,24-24,31194,,5751620,5050-,7,32,487.77,19.603
30530,24-24,31194,,5751621,5050-,7,2,10.42,0.62
30531,24-24,31195,,5751624,5050-,1,38,568.17,23.384
30532,24-24,31195,,5751625,5050-,1,7,32.17,1.915
30520,24-24,31190,GRO,5751606,5051-,176,281,5578.78,228.535
30521,24-24,31190,GRO,5751607,5051-,132,237,5227.1,179.5
30522,24-24,31190,GRO,5751608,5051-,14,15,89.27,4.648
30520,24-24,31190,,5751606,5051-,1,56,667.94,33.057
30521,24-24,31190,,5751607,5051-,1,34,373.87,16.634
30522,24-24,31190,,5751608,5051-,1,2,11.68,0.725
30486,24-24,31150,GRO,5751556,5052-,152,274,5425.79,252.308
30535,24-24,31198,GRO,5751632,5052-,167,220,4801.3,183.424
30536,24-24,31198,GRO,5751633,5052-,6,6,30.64,1.454
30486,24-24,31150,,5751556,5052-,1,30,228.26,15.146
30535,24-24,31198,,5751632,5052-,2,47,440.48,21.367
30536,24-24,31198,,5751633,5052-,2,4,19.45,1.17
30131,24-24,18415,GRO,5750969,5053-,153,343,6129.78,230.494
30132,24-24,18415,GRO,5750970,5053-,6,8,34.44,1.608
30133,24-24,18415,GRO,5750971,5053-,3,5,109.16,13.708
30146,24-24,18501,GRO,5750991,5053-,182,346,6706.31,250.984
30147,24-24,18501,GRO,5750992,5053-,32,39,449.93,14.737
30148,24-24,18501,GRO,5750993,5053-,8,8,36.42,1.619
30149,24-24,18501,GRO,5750994,5053-,5,13,117.35,69.702
30172,24-24,18549,GRO,5751038,5053-,106,224,5392.77,219.855
30173,24-24,18549,GRO,5751039,5053-,1,1,5.74,0.417
30174,24-24,18549,GRO,5751040,5053-,1,1,61.2,4.004
30635,24-24,19464,GRO,5751236,5053-,274,380,6676.12,251.89
30131,24-24,18415,,5750969,5053-,3,28,443.01,20.354
30132,24-24,18415,,5750970,5053-,3,9,46.2,1.834
30146,24-24,18501,,5750991,5053-,4,22,830.13,30.359
30147,24-24,18501,,5750992,5053-,4,4,36.39,1.334
30148,24-24,18501,,5750993,5053-,4,1,2.88,0.096
30172,24-24,18549,,5751038,5053-,1,22,296.93,13.451
30173,24-24,18549,,5751039,5053-,1,1,3.95,0.248
30634,24-24,19464,,5751235,5053-,2,7,341.4,14.653
30635,24-24,19464,,5751236,5053-,2,62,633.7,24.136
30079,24-24,16244,GRO,5750878,5054-,115,302,8141.24,249.699
30312,24-24,26139,GRO,5751267,5054-,164,301,5808,220.956
30313,24-24,26139,GRO,5751268,5054-,230,345,7049.52,226.913
30314,24-24,26139,GRO,5751269,5054-,20,282,6855.74,179.448
30315,24-24,26139,GRO,5751270,5054-,14,171,5204.32,148.241
30316,24-24,26139,GRO,5751271,5054-,9,11,52.9,2.062
30317,24-24,26139,GRO,5751272,5054-,1,1,5.86,0.295
30321,24-24,26199,GRO,5751280,5054-,183,250,6030.05,197.043
30322,24-24,26199,GRO,5751281,5054-,7,84,2254.59,58.886
30079,24-24,16244,,5750878,5054-,3,34,295.8,18.388
30312,24-24,26139,,5751267,5054-,1,54,1112.72,37.103
30313,24-24,26139,,5751268,5054-,1,44,609.28,22.666
30314,24-24,26139,,5751269,5054-,1,3,31.41,0.804
30315,24-24,26139,,5751270,5054-,1,6,96.17,2.48
30316,24-24,26139,,5751271,5054-,1,1,3.4,0.145
30321,24-24,26199,,5751280,5054-,2,48,807.46,37.862
30322,24-24,26199,,5751281,5054-,2,2,46.07,1.118
30349,24-24,26340,GRO,5751325,5055-,179,353,7217.13,277.177
30350,24-24,26340,GRO,5751326,5055-,181,245,5244.8,232.582
30351,24-24,26340,GRO,5751327,5055-,8,8,81.37,4.13
30375,24-24,26505,GRO,5751359,5055-,159,248,5401.4,179.179
30376,24-24,26505,GRO,5751360,5055-,120,319,8675.28,272.938
30377,24-24,26505,GRO,5751361,5055-,40,227,5394.57,146.477
30378,24-24,26505,GRO,5751362,5055-,3,3,14.64,0.783
30379,24-24,26505,GRO,5751363,5055-,1,1,5.86,0.295
30349,24-24,26340,,5751325,5055-,1,14,117.86,5.88
30350,24-24,26340,,5751326,5055-,1,27,455.87,15.446
30375,24-24,26505,,5751359,5055-,2,68,652.63,41.691
30376,24-24,26505,,5751360,5055-,2,17,398.12,10.561
30377,24-24,26505,,5751361,5055-,2,21,143.97,8.42
30378,24-24,26505,,5751362,5055-,2,1,24,3.443
30067,24-24,16173,GRO,5750860,5056-,161,248,6414.49,197.126
30068,24-24,16173,GRO,5750861,5056-,11,119,3088.9,80.579
30069,24-24,16173,GRO,5750862,5056-,2,2,58.38,2.396
30073,24-24,16194,GRO,5750870,5056-,148,245,5742.58,178.531
30100,24-24,16325,GRO,5750912,5056-,193,272,5908.92,206.005
30101,24-24,16325,GRO,5750913,5056-,3,22,585.46,15.081
30067,24-24,16173,,5750860,5056-,2,32,555.76,19.372
30068,24-24,16173,,5750861,5056-,2,3,53.21,1.638
30073,24-24,16194,,5750870,5056-,3,17,445.36,14.031
30100,24-24,16325,,5750912,5056-,1,96,1873.85,66.772
30101,24-24,16325,,5750913,5056-,1,1,11.44,0.249
30102,24-24,16325,,5750914,5056-,1,2,100,2.39
30087,24-24,16263,GRO,5750893,5057-,20,412,8426.17,255.627
30088,24-24,16263,GRO,5750894,5057-,11,355,6217.59,187.364
30089,24-24,16263,GRO,5750895,5057-,1,3,17.58,0.885
30107,24-24,16344,GRO,5750922,5057-,110,281,8515.88,225.685
30108,24-24,16344,GRO,5750923,5057-,1,1,5.86,0.295
30087,24-24,16263,,5750893,5057-,2,70,746.7,17.43
30088,24-24,16263,,5750894,5057-,2,220,2843.35,79.375
30107,24-24,16344,,5750922,5057-,1,12,251.85,6.917
30419,24-24,31042,GRO,5751420,5058-,235,324,7279.02,252.516
30423,24-24,31051,GRO,5751426,5058-,207,370,8584.03,265.272
30424,24-24,31051,GRO,5751427,5058-,172,294,5707.38,267.051
30425,24-24,31051,GRO,5751428,5058-,144,221,4569.15,159.743
30426,24-24,31051,GRO,5751429,5058-,1,390,11076,281.19
30427,24-24,31051,GRO,5751430,5058-,47,86,1515.33,50.846
30428,24-24,31051,GRO,5751431,5058-,3,3,11.48,0.724
30429,24-24,31051,GRO,5751432,5058-,1,4,62.48,1.604
30419,24-24,31042,,5751420,5058-,2,35,431.69,20.573
30423,24-24,31051,,5751426,5058-,1,24,337.48,15.892
30424,24-24,31051,,5751427,5058-,1,26,352.66,14.728
30425,24-24,31051,,5751428,5058-,1,18,197.29,12.557
30427,24-24,31051,,5751430,5058-,1,5,40.81,3.988
30077,24-24,16243,GRO,5750875,5059-,142,286,7512.97,229.371
30420,24-24,31050,GRO,5751422,5059-,310,417,5740.85,217.745
30421,24-24,31050,GRO,5751423,5059-,132,168,1640.62,128.153
30422,24-24,31050,GRO,5751424,5059-,1,3,46.86,1.203
30077,24-24,16243,,5750875,5059-,2,46,766.72,32.394
30078,24-24,16243,,5750876,5059-,2,1,24,3.443
30420,24-24,31050,,5751422,5059-,1,159,1683.15,64.222
30421,24-24,31050,,5751423,5059-,1,85,974.88,41.574
30220,24-24,18653,GRO,5751102,5060-,198,216,3486.72,126.283
30221,24-24,18653,GRO,5751103,5060-,1,468,13291.2,337.428
30222,24-24,18653,GRO,5751104,5060-,1,468,13291.2,337.428
30223,24-24,18653,GRO,5751105,5060-,102,174,3075.65,128.178
30224,24-24,18653,GRO,5751106,5060-,3,3,12.62,0.628
30268,24-24,19176,GRO,5751189,5060-,120,141,2677.02,96.428
30269,24-24,19176,GRO,5751190,5060-,4,4,31.1,2.086
30632,24-24,19446,GRO,5751226,5060-,2,2,29.95,2.151
30650,24-24,19446,GRO,5751227,5060-,80,93,1678.68,59.519
30220,24-24,18653,,5751102,5060-,3,80,990.53,35.676
30223,24-24,18653,,5751105,5060-,3,41,410.26,16.265
30224,24-24,18653,,5751106,5060-,3,5,22.36,1.435
30225,24-24,18653,,5751109,5060-,3,12,8.02,0.336
30268,24-24,19176,,5751189,5060-,2,51,1044.68,43.296
30269,24-24,19176,,5751190,5060-,2,5,24.06,1.381
30650,24-24,19446,,5751227,5060-,1,20,186.07,8.287
30063,24-24,16167,GRO,5750854,5061-,178,254,4201.89,245.599
30064,24-24,16167,GRO,5750855,5061-,119,193,4234.89,153.513
30065,24-24,16167,GRO,5750856,5061-,9,308,8611.28,218.882
30066,24-24,16167,GRO,5750857,5061-,5,5,73.36,2.784
30063,24-24,16167,,5750854,5061-,1,43,832.14,35.201
30064,24-24,16167,,5750855,5061-,1,15,146.79,6.841
30065,24-24,16167,,5750856,5061-,1,3,29.13,0.715
30105,24-24,16334,GRO,5750919,5062-,213,326,6908.23,231.085
30106,24-24,16334,GRO,5750920,5062-,10,253,6876.82,194.827
30469,24-24,31137,GRO,5751530,5062-,182,230,4133.43,152.776
30470,24-24,31137,GRO,5751531,5062-,124,294,7044.65,197.61
30471,24-24,31137,GRO,5751532,5062-,11,12,43.1,2.192
30472,24-24,31138,GRO,5751535,5062-,247,346,7599.03,256.293
30473,24-24,31138,GRO,5751536,5062-,59,214,5310.61,152.407
30474,24-24,31138,GRO,5751537,5062-,10,10,44.41,2.228
30105,24-24,16334,,5750919,5062-,2,22,344.57,12.889
30469,24-24,31137,,5751530,5062-,3,49,593.11,23.418
30470,24-24,31137,,5751531,5062-,3,18,243.11,7.838
30472,24-24,31138,,5751535,5062-,1,55,474.45,25.543
30473,24-24,31138,,5751536,5062-,1,14,150.76,6.147
30474,24-24,31138,,5751537,5062-,1,1,4.58,0.27
30179,24-24,18580,GRO,5751047,5063-,76,128,2530.16,91.401
30180,24-24,18580,GRO,5751048,5063-,1,780,22152,562.38
30181,24-24,18580,GRO,5751049,5063-,50,77,1591.51,61.823
30182,24-24,18580,GRO,5751050,5063-,3,3,20.38,1.135
30288,24-24,19367,GRO,5751219,5063-,349,392,6320.47,235.165
30289,24-24,19367,GRO,5751220,5063-,41,43,538.47,21.273
30290,24-24,19367,GRO,5751221,5063-,7,7,34.51,2.1
30291,24-24,19367,GRO,5751222,5063-,1,1,2.38,2.39
30649,24-24,19421,GRO,5751224,5063-,15,15,172.02,6.532
30618,24-24,820,,5750840,5063-,1,2,1.24,0.056
30179,24-24,18580,,5751047,5063-,3,22,144.3,9.63
30181,24-24,18580,,5751049,5063-,3,10,140.05,4.898
30182,24-24,18580,,5751050,5063-,3,1,3.25,0.201
30288,24-24,19367,,5751219,5063-,2,114,1117.03,47.301
30289,24-24,19367,,5751220,5063-,2,12,101.82,5.763
30290,24-24,19367,,5751221,5063-,2,5,23.8,1.127
30430,24-24,31052,GRO,5751435,5064-,231,387,7612.72,256.567
30431,24-24,31052,GRO,5751436,5064-,169,290,4995.67,244.425
30432,24-24,31052,GRO,5751437,5064-,71,204,4888.24,146.967
30433,24-24,31052,GRO,5751438,5064-,95,178,4067.93,132.165
30434,24-24,31052,GRO,5751439,5064-,2,2,11.99,0.616
30430,24-24,31052,,5751435,5064-,1,65,663.55,23.666
30431,24-24,31052,,5751436,5064-,1,51,434.38,23.629
30432,24-24,31052,,5751437,5064-,1,19,3636.79,132.629
30433,24-24,31052,,5751438,5064-,1,16,163.01,8.037
30434,24-24,31052,,5751439,5064-,1,1,6.16,0.485
30142,24-24,18485,GRO,5750986,5065-,156,195,3351.39,137.858
30143,24-24,18485,GRO,5750987,5065-,84,377,9513.23,269.044
30144,24-24,18485,GRO,5750988,5065-,38,84,1596.58,52.844
30145,24-24,18485,GRO,5750989,5065-,5,8,23.11,1.205
30216,24-24,18613,GRO,5751097,5065-,188,354,7218.04,231.216
30217,24-24,18613,GRO,5751098,5065-,7,10,137.35,7.096
30218,24-24,18613,GRO,5751099,5065-,4,4,17.17,1.069
30219,24-24,18613,GRO,5751100,5065-,4,9,300.62,28.121
30646,24-24,18876,GRO,5751129,5065-,94,127,2338.93,94.949
30633,24-24,19459,GRO,5751231,5065-,156,194,4389.86,140.813
30652,24-24,19459,GRO,5751232,5065-,2,10,349.28,7.072
30142,24-24,18485,,5750986,5065-,4,31,514.79,16.509
30143,24-24,18485,,5750987,5065-,4,20,304,11.678
30144,24-24,18485,,5750988,5065-,4,3,52.8,1.905
30145,24-24,18485,,5750989,5065-,4,1,3.22,0.134
30216,24-24,18613,,5751097,5065-,1,118,1368.08,50.191
30217,24-24,18613,,5751098,5065-,1,5,85.88,2.281
30218,24-24,18613,,5751099,5065-,1,5,22.99,1.422
30219,24-24,18613,,5751100,5065-,1,1,11.65,1.655
30646,24-24,18876,,5751129,5065-,2,27,220.85,13.555
30633,24-24,19459,,5751231,5065-,3,10,178.42,7.643
30481,24-24,31144,GRO,5751549,5066-,1,1,16.44,0.529
30482,24-24,31144,GRO,5751550,5066-,257,338,5692.04,246.416
30483,24-24,31144,GRO,5751551,5066-,213,263,4418.84,198.731
30484,24-24,31144,GRO,5751552,5066-,64,190,4444.12,129.548
30485,24-24,31144,GRO,5751553,5066-,14,15,71.61,4.775
30540,24-24,31210,GRO,5751641,5066-,204,274,4582.26,205.446
30541,24-24,31210,GRO,5751642,5066-,153,273,6708.9,207.83
30542,24-24,31210,GRO,5751643,5066-,7,7,36.86,1.986
30482,24-24,31144,,5751550,5066-,1,69,726.01,34.466
30483,24-24,31144,,5751551,5066-,1,63,688.67,32.369
30484,24-24,31144,,5751552,5066-,1,27,325.74,15.942
30485,24-24,31144,,5751553,5066-,1,5,23.07,1.538
30540,24-24,31210,,5751641,5066-,2,55,659.75,31.643
30541,24-24,31210,,5751642,5066-,2,28,271.58,17.698
30188,24-24,18593,GRO,5751059,5067-,47,188,4192.71,210.417
30189,24-24,18593,GRO,5751060,5067-,222,291,4281.01,193.435
30191,24-24,18593,GRO,5751062,5067-,1,624,17721.6,449.904
30192,24-24,18593,GRO,5751063,5067-,117,199,4032.14,174.352
30193,24-24,18593,GRO,5751064,5067-,10,10,87.98,9.452
30194,24-24,18593,GRO,5751065,5067-,9,66,2834.87,113.906
30204,24-24,18595,GRO,5751079,5067-,13,17,261.67,10.518
30205,24-24,18595,GRO,5751080,5067-,12,22,235.15,9.263
30206,24-24,18595,GRO,5751081,5067-,9,22,860.29,54.03
30188,24-24,18593,,5751059,5067-,2,56,1373.74,70.343
30189,24-24,18593,,5751060,5067-,2,152,1498.52,52.876
30192,24-24,18593,,5751063,5067-,2,93,1020.38,46.068
30193,24-24,18593,,5751064,5067-,2,10,38.8,2
30204,24-24,18595,,5751079,5067-,1,4,48.19,1.996
30205,24-24,18595,,5751080,5067-,1,13,59.06,3.091
30206,24-24,18595,,5751081,5067-,1,1,9.2,6.02
30199,24-24,18595,GRO,5751074,5068-,142,189,3684.1,152.854
30200,24-24,18595,GRO,5751075,5068-,157,312,6769.88,258.169
30201,24-24,18595,GRO,5751076,5068-,190,374,7121.77,246.514
30202,24-24,18595,GRO,5751077,5068-,41,92,883.28,69.332
30203,24-24,18595,GRO,5751078,5068-,1,780,22152,562.38
30199,24-24,18595,,5751074,5068-,1,73,3095.91,116.687
30200,24-24,18595,,5751075,5068-,1,87,643.21,22.212
30201,24-24,18595,,5751076,5068-,1,89,992.29,34.624
30202,24-24,18595,,5751077,5068-,1,29,329.4,12.166
30207,24-24,18595,,5751085,5068-,1,2,1.25,0.056
30183,24-24,18592,GRO,5751052,5069-,17,154,4878.69,176.114
30184,24-24,18592,GRO,5751053,5069-,247,346,6141.61,227.043
30185,24-24,18592,GRO,5751054,5069-,216,386,8293.96,243.344
30186,24-24,18592,GRO,5751055,5069-,6,6,135.19,3.209
30187,24-24,18592,GRO,5751056,5069-,20,31,441.8,83.084
30190,24-24,18593,GRO,5751061,5069-,1,702,19936.8,506.142
30183,24-24,18592,,5751052,5069-,1,11,2254.65,87.431
30184,24-24,18592,,5751053,5069-,1,120,1366.84,55.518
30185,24-24,18592,,5751054,5069-,1,88,837.02,37.624
30186,24-24,18592,,5751055,5069-,1,4,45.26,3.048
30187,24-24,18592,,5751056,5069-,1,1,18.8,0.831
30136,24-24,18484,GRO,5750979,5070-,136,297,3851.36,220.244
30137,24-24,18484,GRO,5750980,5070-,298,383,5048.23,224.912
30138,24-24,18484,GRO,5750981,5070-,116,364,8582.7,242.065
30139,24-24,18484,GRO,5750982,5070-,201,283,5255.85,167.111
30140,24-24,18484,GRO,5750983,5070-,12,12,76.44,4.093
30141,24-24,18484,GRO,5750984,5070-,1,2,15.48,11.28
30226,24-24,18713,GRO,5751110,5070-,258,293,5347.72,188.738
30227,24-24,18713,GRO,5751111,5070-,144,297,6201.18,201.654
